"Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
0.41454,0.91003,0,-0.025055,0.0011897,0.396
0.49388,0.86953,0,-0.026104,0.0017251,0.396
0.56989,0.82172,0,-0.027107,0.0023558,0.396
0.64161,0.76703,0,-0.028055,0.0030788,0.396
0.7082,0.70601,0,-0.028934,0.0038841,0.396
0.76891,0.63936,0,-0.029737,0.0047656,0.396
0.82317,0.56779,0,-0.030453,0.0057101,0.396
0.87044,0.49227,0,-0.031078,0.0067087,0.396
0.91043,0.41367,0,-0.031605,0.0077464,0.396
0.94295,0.33293,0,-0.032035,0.0088134,0.396
0.96797,0.25106,0,-0.032365,0.0098947,0.396
0.98592,0.16723,0,-0.032597,0.01098,0.396
0.99443,0.10539,0,-0.03275,0.012193,0.396
0.99623,0.086745,0,-0.032901,0.013946,0.396
0.99619,0.087156,0,-0.03307,0.015875,0.396
0.99619,0.087156,0,-0.033242,0.017835,0.396
0.99619,0.087156,0,-0.033416,0.019823,0.396
0.99619,0.087156,0,-0.033592,0.021834,0.396
0.99619,0.087156,0,-0.033769,0.023863,0.396
0.99619,0.087155,0,-0.033948,0.025906,0.396
0.99619,0.087155,0,-0.034127,0.027957,0.396
0.99619,0.087156,0,-0.034307,0.030011,0.396
0.99619,0.087156,0,-0.034486,0.032062,0.396
0.99619,0.087156,0,-0.034665,0.034107,0.396
0.99619,0.087156,0,-0.034843,0.036139,0.396
0.99596,0.089846,0,-0.035019,0.038153,0.396
0.98714,0.15984,0,-0.035244,0.040566,0.396
0.94166,0.33658,0,-0.035751,0.042751,0.396
0.83548,0.54953,0,-0.036929,0.045139,0.396
0.67557,0.73729,0,-0.038656,0.047167,0.396
0.47458,0.88021,0,-0.040827,0.048711,0.396
0.2532,0.96741,0,-0.043309,0.049676,0.396
0.073049,0.99733,0,-0.045529,0.049991,0.396
0.0025504,1,0,-0.048096,0.050005,0.396
0,1,0,-0.050132,0.050005,0.396
0,1,0,-0.052075,0.050005,0.396
0,1,0,-0.053938,0.050005,0.396
0,1,0,-0.055734,0.050005,0.396
0,1,0,-0.057473,0.050005,0.396
0,1,0,-0.059169,0.050005,0.396
0,1,0,-0.060832,0.050005,0.396
0,1,0,-0.062473,0.050005,0.396
0,1,0,-0.064103,0.050005,0.39513
0,1,0,-0.064103,0.050005,0.39425
0,1,0,-0.064103,0.050005,0.39338
0,0.99999,0.0036305,-0.0062954,3.5862e-06,0.3925
0,0.99999,0.0036305,-0.0073135,3.5862e-06,0.3925
0,0.99999,0.0036305,-0.0083537,3.5862e-06,0.3925
0,0.99999,0.0036305,-0.0094203,3.5862e-06,0.3925
0,0.99999,0.0036305,-0.010518,3.5862e-06,0.3925
0,0.99999,0.0036305,-0.011651,3.5862e-06,0.3925
0,0.99999,0.0036305,-0.012826,3.5862e-06,0.3925
0,0.99999,0.0036305,-0.01405,3.5862e-06,0.3925
0,0.99999,0.0036305,-0.015328,3.5862e-06,0.3925
0,0.99999,0.0036305,-0.016671,3.5862e-06,0.3925
-0.00053267,0.99999,0.0036305,-0.018086,3.5862e-06,0.3925
0.018199,0.99983,0.0036299,-0.019445,2.1383e-06,0.3925
0.080665,0.99673,0.0036186,-0.020667,4.795e-05,0.3925
0.16573,0.98616,0.0035802,-0.021769,0.00018527,0.3925
0.24948,0.96837,0.0035157,-0.022875,0.00041977,0.3925
0.33275,0.94301,0.0034236,-0.023975,0.00075453,0.3925
0.41454,0.91002,0.0033038,-0.025055,0.0011897,0.3925
0.49388,0.86953,0.0031567,-0.026104,0.0017251,0.3925
0.56988,0.82172,0.0029832,-0.027107,0.0023558,0.3925
0.64161,0.76702,0.0027846,-0.028055,0.0030788,0.3925
0.70819,0.70601,0.0025632,-0.028934,0.0038841,0.3925
0.76891,0.63936,0.0023212,-0.029737,0.0047656,0.3925
0.82317,0.56779,0.0020614,-0.030453,0.0057101,0.3925
0.87044,0.49227,0.0017872,-0.031078,0.0067087,0.3925
0.91042,0.41367,0.0015018,-0.031605,0.0077464,0.3925
0.94295,0.33293,0.0012087,-0.032035,0.0088134,0.3925
0.96797,0.25106,0.00091144,-0.032365,0.0098947,0.3925
0.98592,0.16723,0.00060715,-0.032597,0.01098,0.3925
0.99443,0.10539,0.00038264,-0.03275,0.012193,0.3925
0.99623,0.086745,0.00031493,-0.032901,0.013946,0.3925
0.99619,0.087156,0.00031642,-0.03307,0.015875,0.3925
0.99619,0.087156,0.00031641,-0.033242,0.017835,0.3925
0.99619,0.087156,0.00031641,-0.033416,0.019823,0.3925
0.99619,0.087156,0.0003164,-0.033592,0.021834,0.3925
0.99619,0.087155,0.0003164,-0.033769,0.023863,0.3925
0.99619,0.087155,0.0003164,-0.033948,0.025906,0.3925
0.99619,0.087155,0.0003164,-0.034127,0.027957,0.3925
0.99619,0.087156,0.00031641,-0.034307,0.030011,0.3925
0.99619,0.087155,0.00031644,-0.034486,0.032062,0.3925
0.99619,0.087156,0.00031653,-0.034665,0.034107,0.3925
0.99619,0.087156,0.00031653,-0.034843,0.036139,0.3925
0.99596,0.089846,0.00032621,-0.035019,0.038153,0.3925
0.98714,0.15984,0.00058029,-0.035244,0.040566,0.3925
0.94166,0.33658,0.0012219,-0.035751,0.042751,0.3925
0.83547,0.54953,0.001995,-0.036929,0.045139,0.3925
0.67557,0.73729,0.0026766,-0.038656,0.047167,0.3925
0.47458,0.88021,0.003195,-0.040827,0.048711,0.3925
0.2532,0.96741,0.0035111,-0.043309,0.049676,0.3925
0.073049,0.99732,0.0036201,-0.045529,0.049991,0.3925
0.0025504,0.99999,0.0036303,-0.048096,0.050005,0.3925
0,0.99999,0.0036303,-0.050132,0.050005,0.3925
0,0.99999,0.0036303,-0.052075,0.050005,0.3925
0,0.99999,0.0036303,-0.053938,0.050005,0.3925
0,0.99999,0.0036303,-0.055734,0.050005,0.3925
0,0.99999,0.0036303,-0.057473,0.050005,0.3925
0,0.99999,0.0036303,-0.059169,0.050005,0.3925
0,0.99999,0.0036303,-0.060832,0.050005,0.3925
0,0.99999,0.0036303,-0.062473,0.050005,0.3925
0,1,0,-0.065658,0.050005,0.4
0,1,0,-0.067214,0.050005,0.4
0,1,0,-0.068769,0.050005,0.4
0,1,0,-0.070325,0.050005,0.4
0,1,0,-0.07188,0.050005,0.4
0,1,0,-0.073436,0.050005,0.4
0,1,0,-0.074991,0.050005,0.4
0,1,0,-0.076547,0.050005,0.4
0,1,0,-0.078103,0.050005,0.399
0,1,0,-0.078103,0.050005,0.398
0,1,0,-0.078103,0.050005,0.397
0,1,0,-0.065658,0.050005,0.396
0,1,0,-0.067214,0.050005,0.396
0,1,0,-0.068769,0.050005,0.396
0,1,0,-0.070325,0.050005,0.396
0,1,0,-0.07188,0.050005,0.396
0,1,0,-0.073436,0.050005,0.396
0,1,0,-0.074991,0.050005,0.396
0,1,0,-0.076547,0.050005,0.396
0,1,0,-0.078103,0.050005,0.39513
0,1,0,-0.078103,0.050005,0.39425
0,1,0,-0.078103,0.050005,0.39338
0,0.99999,0.0036303,-0.065658,0.050005,0.3925
0,0.99999,0.0036303,-0.067214,0.050005,0.3925
0,0.99999,0.0036303,-0.068769,0.050005,0.3925
0,0.99999,0.0036303,-0.070325,0.050005,0.3925
0,0.99999,0.0036303,-0.07188,0.050005,0.3925
0,0.99999,0.0036303,-0.073436,0.050005,0.3925
0,0.99999,0.0036303,-0.074991,0.050005,0.3925
0,0.99999,0.0036303,-0.076547,0.050005,0.3925
0,0.99997,0.0072611,-0.078103,0.050012,0.3915
0,0.99997,0.0072611,-0.078103,0.050019,0.3905
0,0.99997,0.0072619,-0.078103,0.050026,0.3895
0,0.99997,0.0072608,-0.078103,0.050034,0.3885
0,0.99997,0.0072597,-0.078103,0.050041,0.3875
0,0.99997,0.007262,-0.078103,0.050048,0.3865
0,0.99997,0.0072619,-0.078103,0.050055,0.3855
0,0.99997,0.0072598,-0.078103,0.050063,0.3845
0,0.99997,0.0072613,-0.078103,0.05007,0.3835
0,0.99997,0.0072623,-0.078103,0.050077,0.38249
